country,n_conversations,n_turns,pct_please,pct_thanks,pct_apology,pct_hedge,pct_greeting
United States,30247,57363,12.654498544357862,6.230497010267943,3.9467949723689486,4.497672715862141,0.9901853110890295
Russia,7269,15772,4.07684504184631,1.705554146588892,0.5452700989094599,0.5769718488460562,1.5090032969819933
China,7029,10448,54.32618683001531,1.043261868300153,0.16271056661562022,0.1531393568147014,0.5742725880551302
United Kingdom,5789,13404,7.5574455386451795,3.088630259623993,1.15637123246792,1.9994031632348555,1.1414503133393017
Hong Kong,5564,9091,46.01253987460125,1.6829831701682982,0.3299967000329997,0.1869981300186998,1.165988340116599
India,3254,9860,4.300202839756592,1.1460446247464502,0.4563894523326572,0.32454361054766734,2.95131845841785
France,2978,5300,4.7924528301886795,3.5660377358490565,1.1886792452830188,1.0943396226415094,1.9056603773584906
Canada,2861,7444,6.448146157979581,1.0343901128425579,0.8866200967221923,0.7791509940891994,1.491133799032778
Japan,2356,3619,53.854655982315556,1.7131804365846919,0.5802707930367506,0.6355346780878696,1.1052777010223818
Germany,2086,4678,11.52201795639162,2.586575459598119,2.3086789226165028,2.4155622060709705,2.6934587430525863
Taiwan,1802,2074,74.39729990356798,1.0125361620057858,0.09643201542912247,0.09643201542912247,0.4821600771456124
Philippines,1737,5049,6.6151713210536744,2.8718558130322838,1.0101010101010102,0.5743711626064567,2.2776787482669834
Singapore,1631,2714,41.230655858511426,2.9476787030213707,0.2210759027266028,0.4421518054532056,1.694915254237288
Egypt,1620,4499,6.757057123805291,1.0224494332073795,0.3556345854634363,0.24449877750611246,3.089575461213603
Australia,1425,4197,10.364546104360258,2.096735763640696,1.7393376221110317,1.3819394805813676,0.8339289969025495
Morocco,1089,3537,14.75826972010178,1.8659881255301103,0.3675431156347187,0.6785411365564037,2.261803788521346
New Zealand,999,2284,2.495621716287215,0.39404553415061294,0.13134851138353765,0.8318739054290718,0.6129597197898424
Romania,920,2198,6.5969062784349415,0.13648771610555052,0.3639672429481347,0.3639672429481347,0.6369426751592357
Iran,912,2500,7.3999999999999995,3.5999999999999996,0.27999999999999997,0.9199999999999999,3.32
The Netherlands,856,2131,9.103707179727827,2.1116846550915063,2.9094321914594086,1.1731581417175034,3.5194744251525107
